GEOID90BG,GEOID20BG,WEIGHT
100030001001,100030028001,1.0
100030001002,100030028001,1.0
100030001002,100030028002,1.0
100030001003,100030028002,1.0
100030001004,100030028001,1.0
100030001004,100030028002,1.0
100030001005,100030016001,0.9272732931445032
100030001005,100030028001,1.0
100030002001,100030002001,1.0
100030002002,100030002002,1.0
100030002003,100030002003,1.0
100030002003,100030002006,8.406920250763037e-06
100030002003,100030108003,1.0
100030002004,100030002004,1.0
100030002005,100030002005,1.0
100030002006,100030002004,1.0
100030002006,100030002006,1.0
100030003001,100030002006,0.001983110539
100030003001,100030003003,1.0
100030003002,100030003003,1.0
100030003003,100030003001,1.0
100030003004,100030003002,1.0
100030004001,100030004001,1.0
100030004002,100030004002,1.0
100030004003,100030004003,1.0
100030004003,100030117003,0.6590959048438421
100030005001,100030005001,1.0
100030005002,100030005002,1.0
100030005003,100030005003,1.0
100030005003,100030005004,1.0
100030005004,100030005004,1.0
100030006001,100030015001,0.0103977862951138
100030006001,100030016001,0.6014807859292117
100030006011,100030006011,1.0
100030006011,100030107041,1.0
100030006012,100030006012,1.0
100030006013,100030006013,1.0
100030006021,100030006021,1.0
100030006022,100030006022,1.0
100030006023,100030006023,1.0
100030007001,100030006011,0.0018688620244150618
100030007001,100030030022,1.0
100030007001,100030107041,1.0
100030007002,100030030022,1.0
100030008001,100030030021,1.0
100030008002,100030030021,1.0
100030009001,100030009001,1.0
100030009002,100030009002,1.0
100030009002,100030009003,1.0
100030009003,100030009003,1.0
100030010001,100030028001,1.0
100030011001,100030011001,1.0
100030011001,100030011002,1.0
100030011001,100030011003,0.0
100030011001,100030028001,0.7501894708992223
100030011002,100030011002,1.0
100030011002,100030016001,0.000710258742534
100030011002,100030028001,1.0
100030011003,100030011003,1.0
100030012001,100030012001,1.0
100030012002,100030012001,1.0
100030012002,100030012002,1.0
100030012003,100030012001,1.0
100030012003,100030012002,1.0
100030013001,100030013001,1.0
100030013002,100030013002,1.0
100030013003,100030013003,1.0
100030013003,100030013004,0.5942973704048601
100030013004,100030013004,1.0
100030014001,100030011003,0.0
100030014001,100030012002,0.1065926003563567
100030014001,100030013003,0.0
100030014001,100030014001,1.0
100030014002,100030014002,1.0
100030015001,100030015001,1.0
100030015001,100030015002,1.0
100030015001,100030016001,0.3202161562976306
100030015001,100030016003,0.3397713077736139
100030016001,100030015001,0.0003828305887953
100030016001,100030016001,1.0
100030016002,100030016001,1.0
100030016002,100030016002,1.0
100030016002,100030016003,1.0
100030016003,100030016002,1.0
100030016003,100030016003,1.0
100030016004,100030016002,1.0
100030016004,100030016003,1.0
100030017001,100030009001,1.0
100030017001,100030029001,1.0
100030017002,100030029001,1.0
100030017003,100030029003,1.0
100030017004,100030029004,1.0
100030018001,100030029001,1.0
100030018001,100030029002,0.6472189219202333
100030018001,100030030021,0.505128618954437
100030018001,100030030022,0.000445254891176382
100030018001,100030107041,0.11586340478222351
100030018001,100030107042,0.48319085845799853
100030018001,100039801001,0.967582627217
100030019001,100030019021,1.0
100030019001,100030019022,0.1966777403647833
100030019002,100030019021,1.0
100030019002,100030155021,0.17792857632465078
100030019003,100030019022,1.0
100030020001,100030029002,1.0
100030021001,100030021001,1.0
100030021002,100030021002,1.0
