GEOID10BG,GEOID20BG,WEIGHT
100030002001,100030002001,1.0
100030002002,100030002002,1.0
100030002003,100030002003,1.0
100030002003,100030108003,1.0
100030002004,100030002004,1.0
100030002005,100030002005,1.0
100030002006,100030002006,1.0
100030003001,100030002006,1.0
100030003001,100030003003,1.0
100030003002,100030003003,1.0
100030003003,100030003001,1.0
100030003004,100030003002,1.0
100030004001,100030004001,1.0
100030004002,100030004002,1.0
100030004003,100030004003,1.0
100030004003,100030117003,1.0
100030005001,100030005001,1.0
100030005002,100030005002,1.0
100030005003,100030005003,1.0
100030005004,100030005004,1.0
100030006011,100030006011,1.0
100030006011,100030107041,1.0
100030006012,100030006012,1.0
100030006013,100030006013,1.0
100030006021,100030006021,1.0
100030006022,100030006022,1.0
100030006023,100030006023,1.0
100030009001,100030009001,1.0
100030009002,100030009002,1.0
100030009003,100030009003,1.0
100030011001,100030011001,1.0
100030011001,100030011003,1.0
100030011001,100030028001,1.0
100030011002,100030011002,1.0
100030011003,100030011003,1.0
100030012001,100030012001,1.0
100030012002,100030012002,1.0
100030013001,100030013001,1.0
100030013002,100030013002,1.0
100030013003,100030013003,1.0
100030013003,100030013004,1.0
100030013004,100030013004,1.0
100030014001,100030011003,1.0
100030014001,100030012002,1.0
100030014001,100030013003,1.0
100030014001,100030014001,1.0
100030014002,100030014002,1.0
100030015001,100030015001,1.0
100030015001,100030016001,1.0
100030015002,100030015002,1.0
100030015002,100030016003,1.0
100030016001,100030015001,1.0
100030016001,100030016001,1.0
100030016002,100030016002,1.0
100030016003,100030016003,1.0
100030019021,100030019021,1.0
100030019021,100030155021,0.18957131381
100030019022,100030019022,1.0
100030021001,100030021001,1.0
100030021002,100030021002,1.0
100030022001,100030022001,1.0
100030022002,100030022002,1.0
100030022003,100030022003,1.0
100030023001,100030023001,1.0
100030023002,100030023002,1.0
100030023003,100030023003,1.0
100030024001,100030024001,1.0
100030024002,100030024002,1.0
100030024003,100030024003,1.0
100030024004,100030024004,1.0
100030024004,100030122001,1.0
100030025001,100030025001,1.0
100030025002,100030025002,1.0
100030025003,100030025003,1.0
100030026001,100030026001,1.0
100030026002,100030026002,1.0
100030026003,100030026003,1.0
100030026004,100030026004,1.0
100030027001,100030027001,1.0
100030027002,100030027002,1.0
100030028001,100030016001,1.0
100030028001,100030028001,1.0
100030028001,100030028002,1.0
100030028002,100030011002,1.0
100030028002,100030016001,1.0
100030028002,100030028001,1.0
100030029001,100030029001,1.0
100030029002,100030029002,1.0
100030029003,100030029003,1.0
100030029004,100030029004,1.0
100030030021,100030006011,0.00193637621
100030030021,100030030022,1.0
100030030022,100030030022,1.0
100030030023,100030030021,1.0
100030101011,100030101051,1.0
100030101012,100030101052,1.0
100030101012,100030101061,1.0
100030101012,100030101062,1.0
100030101013,100030101061,1.0
100030101013,100030101062,1.0
100030101013,100030101063,0.990216413742
100030101041,100030101041,1.0
100030101042,100030101042,1.0
100030102001,100030102001,1.0
100030102002,100030102002,1.0
100030103001,100030103001,1.0
100030103002,100030103002,1.0
100030103003,100030103003,1.0
100030104001,100030104001,1.0
100030104002,100030104002,1.0
100030104003,100030104003,1.0
100030104004,100030104004,1.0
100030105021,100030105021,1.0
100030105022,100030105022,1.0
100030105023,100030105023,1.0
100030105024,100030105024,1.0
100030105025,100030105025,1.0
100030107021,100030107031,1.0
100030107022,100030107042,1.0
100030107022,100039801001,0.017005217005
100030107023,100030006011,0.445920219595
100030107023,100030030022,0.040834454071
100030107023,100030107041,1.0
100030107023,100030107042,1.0
100030107023,100030107043,1.0
100030107024,100030107032,1.0
100030108001,100030108001,1.0
100030108001,100030110001,1.0
100030108002,100030108002,1.0
100030108002,100030108003,1.0
100030108003,100030002006,0.075406786401
100030108003,100030108003,1.0
100030109001,100030109001,1.0
100030109002,100030109002,1.0
100030109003,100030109003,1.0
100030109003,100030110003,1.0
100030110001,100030110001,1.0
100030110002,100030110002,1.0
100030110003,100030110003,1.0
100030111001,100030111001,1.0
100030111002,100030111001,1.0
100030112011,100030112011,1.0
100030112012,100030112012,1.0
100030112021,100030112021,1.0
100030112021,100030112031,1.0
100030112022,100030112022,1.0
100030112031,100030112031,1.0
100030112032,100030112032,1.0
100030112033,100030112033,1.0
100030112041,100030112033,1.0
100030112041,100030112041,1.0
100030112042,100030112031,1.0
100030112042,100030112042,1.0
100030112051,100030112021,1.0
100030112051,100030112031,1.0
100030112051,100030112042,1.0
